name,partial,fully,pop,uninsured,obesity,hs,mhhi,rural
MITCHELL,"2,971","1,738","15,146",17,27,85,43.967,82.6
MONTGOMERY,"5,417","3,146","27,724",21,36.5,90,47.757,76.8
MOORE,"28,302","18,901","101,219",14,26.3,89,59.471,50.7
NASH,"20,890","10,724","96,089",15,41.9,83,50.122,47.6
NEW HANOVER,"55,098","39,541","233,062",15,26.4,86,53.419,2.2
NORTHAMPTON,"5,314","2,663","20,318",14,33.5,63,37.233,89.4
ONSLOW,"22,111","12,729","207,252",11,29.3,89,50.531,26.3
ORANGE,"44,243","30,449","146,521",12,22.9,88,71.92,28.5
PAMLICO,"4,237","2,646","13,286",15,37.2,87,46.447,100
PASQUOTANK,"10,876","7,271","39,953",15,39.2,83,46.355,41.3
PENDER,"12,141","7,623","63,153",17,30.6,90,54.9,68.8
PERQUIMANS,"3,656","2,012","13,740",14,34.3,90,48.337,100
PERSON,"8,832","5,193","40,315",14,29.2,87,50.149,75.5
PITT,"36,700","30,298","181,301",13,35.9,85,43.303,25.4
POLK,"5,196","2,541","21,784",16,33.3,92,50.467,92.3
RANDOLPH,"23,571","12,136","144,589",18,32.2,90,48.372,56.2
RICHMOND,"9,678","6,211","45,118",18,38.7,81,38.514,45.5
ROBESON,"20,245","11,883","131,315",24,39,86,35.407,62.6
ROCKINGHAM,"18,652","9,004","91,868",16,36.3,86,41.869,61.9
ROWAN,"20,307","13,972","142,753",17,37.5,85,46.864,38.8
RUTHERFORD,"12,581","5,751","68,845",17,28.5,84,42.831,61
SAMPSON,"13,095","7,645","63,991",24,35.3,83,42.807,85
SCOTLAND,"7,846","4,599","35,767",18,39.5,87,36.73,48.4
STANLY,"10,558","6,420","64,132",16,28.4,89,51.491,67.7
STOKES,"7,844","5,023","46,657",16,32.8,83,50.826,75.7
SURRY,"16,893","9,473","73,489",18,30.5,91,46.342,68.8
SWAIN,"2,973","1,778","14,474",22,31.1,79,43.121,100
TRANSYLVANIA,"7,919","5,431","35,286",18,26.8,86,51.398,59.6
TYRRELL,1073,612,3773,21,43.3,89,36.765,100
UNION,"38,913","27,175","235,605",13,32.1,93,80.428,27.3
VANCE,"10,220","5,721","45,392",15,34.3,82,40.263,54.1
WAKE,"242,485","149,856","1,085,297",12,25.1,89,80.169,6.1
WARREN,"5,037","2,398","19,871",20,41,71,38.43,100
WASHINGTON,"2,623","1,719","12,113",16,42.2,73,36.042,67.8
WATAUGA,"13,298","9,684","57,069",16,16.7,90,48.489,55.4
WAYNE,"21,416","10,257","125,789",19,38.1,83,41.572,46.4
WILKES,"13,882","7,416","70,052",19,42.6,88,44.08,72.8
WILSON,"16,127","9,222","82,781",18,32.3,79,44.015,38.7
YADKIN,"7,893","4,535","38,130",17,38.6,88,49.07,84.7
YANCEY,"4,647","2,441","18,686",18,29.9,92,44.756,100
